ADMIN,Longitude,Latitude,LatLng
Chile,-71.38256213,-37.73070989,"-37.73070989,-71.38256213"
China,103.8190735,36.56176546,"36.56176546,103.81907349"
Ivory Coast,-5.5692157,7.6284262,"7.6284262,-5.5692157"
Cameroon,12.73964156,5.69109849,"5.69109849,12.73964156"
Democratic Republic of the Congo,23.64396107,-2.87746289,"-2.87746289,23.64396107"
Republic of Congo,15.21965762,-0.83787463,"-0.83787463,15.21965762"
Cook Islands,-159.7872422,-21.21927288,"-21.21927288,-159.78724218"
Colombia,-73.08114582,3.91383431,"3.91383431,-73.08114582"
Comoros,43.68253968,-11.87783444,"-11.87783444,43.68253968"
Cape Verde,-23.9598882,15.95523324,"15.95523324,-23.9598882"
Costa Rica,-84.19208768,9.97634464,"9.97634464,-84.19208768"
Cuba,-79.01605384,21.62289528,"21.62289528,-79.01605384"
Cura̤ao,-68.97119369,12.19551675,"12.19551675,-68.97119369"
Cayman Islands,-80.91213321,19.42896497,"19.42896497,-80.91213321"
Northern Cyprus,33.5684813,35.26277486,"35.26277486,33.5684813"
Cyprus,33.0060022,34.91667211,"34.91667211,33.0060022"
Czech Republic,15.31240163,49.73341233,"49.73341233,15.31240163"
Germany,10.38578051,51.10698181,"51.10698181,10.38578051"
Djibouti,42.5606754,11.74871806,"11.74871806,42.5606754"
Dominica,-61.357726,15.4394702,"15.4394702,-61.357726"
Denmark,10.02800992,55.98125296,"55.98125296,10.02800992"
Dominican Republic,-70.50568896,18.89433082,"18.89433082,-70.50568896"
Algeria,2.61732301,28.15893849,"28.15893849,2.61732301"
Ecuador,-78.75201922,-1.42381612,"-1.42381612,-78.75201922"
Egypt,29.86190099,26.49593311,"26.49593311,29.86190099"
Eritrea,38.84617011,15.36186618,"15.36186618,38.84617011"
Spain,-3.64755047,40.24448698,"40.24448698,-3.64755047"
Estonia,25.54248537,58.67192972,"58.67192972,25.54248537"
Ethiopia,39.60080098,8.62278679,"8.62278679,39.60080098"
Finland,26.2746656,64.49884603,"64.49884603,26.2746656"
Fiji,165.4519543,-17.42858032,"-17.42858032,165.45195432"
Falkland Islands,-59.35238956,-51.74483954,"-51.74483954,-59.35238956"
France,-2.76172945,42.17344011,"42.17344011,-2.76172945"
Faroe Islands,-6.88095423,62.05385403,"62.05385403,-6.88095423"
Federated States of Micronesia,153.2394379,7.45246814,"7.45246814,153.23943792"
Gabon,11.7886287,-0.58660025,"-0.58660025,11.7886287"
United Kingdom,-2.86563164,54.12387156,"54.12387156,-2.86563164"
Georgia,43.50780252,42.16855755,"42.16855755,43.50780252"
Guernsey,-2.57239064,49.46809761,"49.46809761,-2.57239064"
Ghana,-1.21676566,7.95345644,"7.95345644,-1.21676566"
Guinea,-10.94066612,10.43621593,"10.43621593,-10.94066612"
Gambia,-15.39601295,13.44965244,"13.44965244,-15.39601295"
Guinea Bissau,-14.94972445,12.04744948,"12.04744948,-14.94972445"
Equatorial Guinea,10.34137924,1.70555135,"1.70555135,10.34137924"
Greece,22.95555794,39.07469623,"39.07469623,22.95555794"
Grenada,-61.68220189,12.11725044,"12.11725044,-61.68220189"
Greenland,-41.34191127,74.71051289,"74.71051289,-41.34191127"
Guatemala,-90.36482009,15.69403664,"15.69403664,-90.36482009"
Guam,144.7679102,13.44165626,"13.44165626,144.76791022"
Guyana,-58.98202459,4.79378034,"4.79378034,-58.98202459"
Hong Kong S.A.R.,114.1138045,22.39827737,"22.39827737,114.11380454"
Heard Island and McDonald Islands,73.5205171,-53.08724656,"-53.08724656,73.5205171"
Honduras,-86.6151661,14.82688165,"14.82688165,-86.6151661"
Croatia,16.40412899,45.08047631,"45.08047631,16.40412899"
Haiti,-72.68527509,18.93502563,"18.93502563,-72.68527509"
Hungary,19.39559116,47.16277506,"47.16277506,19.39559116"
Indonesia,117.2401137,-2.21505456,"-2.21505456,117.24011366"
Isle of Man,-4.53873952,54.22418911,"54.22418911,-4.53873952"
India,79.6119761,22.88578212,"22.88578212,79.6119761"
Indian Ocean Territories,104.851898,-10.6478515,"-10.6478515,104.85189795"
British Indian Ocean Territory,72.44541229,-7.33059751,"-7.33059751,72.44541229"
Ireland,-8.13793569,53.1754487,"53.1754487,-8.13793569"
Iran,54.27407004,32.57503292,"32.57503292,54.27407004"
Iraq,43.74353149,33.03970582,"33.03970582,43.74353149"
Iceland,-18.57396167,64.99575386,"64.99575386,-18.57396167"
Israel,35.00444693,31.46110101,"31.46110101,35.00444693"
Italy,12.07001339,42.79662641,"42.79662641,12.07001339"
